2019-10-10 17:28:01,579 [INFO ]	Nodes = 66
2019-10-10 17:28:01,581 [INFO ]	Tree is rooted, pass
2019-10-10 17:28:01,646 [INFO ]	Species overlap score = 0, num speciation events = 220
2019-10-10 17:28:01,661 [INFO ]	Run MCL, num clusters = 8
2019-10-10 17:28:01,672 [INFO ]	Phylogeny = OG0000037
2019-10-10 17:28:01,677 [INFO ]	Nodes = 65
2019-10-10 17:28:01,678 [INFO ]	Tree is rooted, pass
2019-10-10 17:28:01,738 [INFO ]	Species overlap score = 0, num speciation events = 231
2019-10-10 17:28:01,755 [INFO ]	Run MCL, num clusters = 5
2019-10-10 17:28:01,767 [INFO ]	Phylogeny = OG0000038
2019-10-10 17:28:01,770 [INFO ]	Nodes = 63
2019-10-10 17:28:01,771 [INFO ]	Tree is rooted, pass
2019-10-10 17:28:01,828 [INFO ]	Species overlap score = 0, num speciation events = 270
2019-10-10 17:28:01,845 [INFO ]	Run MCL, num clusters = 6
2019-10-10 17:28:01,858 [INFO ]	Phylogeny = OG0000039
2019-10-10 17:28:01,863 [INFO ]	Nodes = 63
2019-10-10 17:28:01,865 [INFO ]	Tree is rooted, pass
2019-10-10 17:28:01,925 [INFO ]	Species overlap score = 0, num speciation events = 213
2019-10-10 17:28:01,942 [INFO ]	Run MCL, num clusters = 11
2019-10-10 17:28:01,953 [INFO ]	Phylogeny = OG0000040
2019-10-10 17:28:01,957 [INFO ]	Nodes = 63
2019-10-10 17:28:01,958 [INFO ]	Tree is rooted, pass
2019-10-10 17:28:02,016 [INFO ]	Species overlap score = 0, num speciation events = 194
2019-10-10 17:28:02,026 [INFO ]	Run MCL, num clusters = 8
2019-10-10 17:28:02,035 [INFO ]	Phylogeny = OG0000041
2019-10-10 17:28:02,038 [INFO ]	Nodes = 63
2019-10-10 17:28:02,038 [INFO ]	Tree is rooted, pass
2019-10-10 17:28:02,084 [INFO ]	Species overlap score = 0, num speciation events = 69
2019-10-10 17:28:02,096 [INFO ]	Run MCL, num clusters = 13
2019-10-10 17:28:02,107 [INFO ]	Phylogeny = OG0000042
2019-10-10 17:28:02,110 [INFO ]	Nodes = 62
2019-10-10 17:28:02,111 [INFO ]	Tree is rooted, pass
2019-10-10 17:28:02,161 [INFO ]	Species overlap score = 0, num speciation events = 254
2019-10-10 17:28:02,177 [INFO ]	Run MCL, num clusters = 9
2019-10-10 17:28:02,187 [INFO ]	Phylogeny = OG0000043
2019-10-10 17:28:02,190 [INFO ]	Nodes = 61
2019-10-10 17:28:02,190 [INFO ]	Tree is rooted, pass
2019-10-10 17:28:02,238 [INFO ]	Species overlap score = 0, num speciation events = 260
2019-10-10 17:28:02,254 [INFO ]	Run MCL, num clusters = 8
2019-10-10 17:28:02,264 [INFO ]	Phylogeny = OG0000044
2019-10-10 17:28:02,267 [INFO ]	Nodes = 61
2019-10-10 17:28:02,268 [INFO ]	Tree is rooted, pass
2019-10-10 17:28:02,315 [INFO ]	Species overlap score = 0, num speciation events = 197
2019-10-10 17:28:02,330 [INFO ]	Run MCL, num clusters = 11
2019-10-10 17:28:02,340 [INFO ]	Phylogeny = OG0000045
2019-10-10 17:28:02,343 [INFO ]	Nodes = 61
2019-10-10 17:28:02,344 [INFO ]	Tree is rooted, pass
2019-10-10 17:28:02,394 [INFO ]	Species overlap score = 0, num speciation events = 168
2019-10-10 17:28:02,408 [INFO ]	Run MCL, num clusters = 7
2019-10-10 17:28:02,419 [INFO ]	Phylogeny = OG0000046
2019-10-10 17:28:02,422 [INFO ]	Nodes = 59
2019-10-10 17:28:02,423 [INFO ]	Tree is rooted, pass
2019-10-10 17:28:02,475 [INFO ]	Species overlap score = 0, num speciation events = 152
2019-10-10 17:28:02,488 [INFO ]	Run MCL, num clusters = 11
2019-10-10 17:28:02,499 [INFO ]	Phylogeny = OG0000047
2019-10-10 17:28:02,504 [INFO ]	Nodes = 59
2019-10-10 17:28:02,505 [INFO ]	Tree is rooted, pass
2019-10-10 17:28:02,561 [INFO ]	Species overlap score = 0, num speciation events = 284
2019-10-10 17:28:02,576 [INFO ]	Run MCL, num clusters = 7
2019-10-10 17:28:02,587 [INFO ]	Phylogeny = OG0000048
2019-10-10 17:28:02,590 [INFO ]	Nodes = 59
2019-10-10 17:28:02,590 [INFO ]	Tree is rooted, pass
2019-10-10 17:28:02,636 [INFO ]	Species overlap score = 0, num speciation events = 149
2019-10-10 17:28:02,650 [INFO ]	Run MCL, num clusters = 6
2019-10-10 17:28:02,660 [INFO ]	Phylogeny = OG0000049
2019-10-10 17:28:02,663 [INFO ]	Nodes = 58
2019-10-10 17:28:02,664 [INFO ]	Tree is rooted, pass
2019-10-10 17:28:02,713 [INFO ]	Species overlap score = 0, num speciation events = 191
2019-10-10 17:28:02,727 [INFO ]	Run MCL, num clusters = 9
2019-10-10 17:28:02,738 [INFO ]	Phylogeny = OG0000050
2019-10-10 17:28:02,741 [INFO ]	Nodes = 58
2019-10-10 17:28:02,742 [INFO ]	Tree is rooted, pass
2019-10-10 17:28:02,790 [INFO ]	Species overlap score = 0, num speciation events = 202
2019-10-10 17:28:02,804 [INFO ]	Run MCL, num clusters = 8
2019-10-10 17:28:02,813 [INFO ]	Phylogeny = OG0000051
2019-10-10 17:28:02,816 [INFO ]	Nodes = 56
2019-10-10 17:28:02,817 [INFO ]	Tree is rooted, pass
2019-10-10 17:28:02,861 [INFO ]	Species overlap score = 0, num speciation events = 260
2019-10-10 17:28:02,873 [INFO ]	Run MCL, num clusters = 11
2019-10-10 17:28:02,882 [INFO ]	Phylogeny = OG0000052
2019-10-10 17:28:02,885 [INFO ]	Nodes = 56
2019-10-10 17:28:02,886 [INFO ]	Tree is rooted, pass
2019-10-10 17:28:02,929 [INFO ]	Species overlap score = 0, num speciation events = 270
